Designator,Mid X,Mid Y,Rotation,Layer
A1,24.5,5.25,180.0,bottom
C1,20.25,36.75,0.0,top
C10,17.5,54.255883,180.0,top
C11,17.5,45.5,180.0,top
C12,24.75,52.0,270.0,top
C13,24.75,56.5,270.0,top
C15,51.85,37.5,0.0,top
C16,25.75,61.75,90.0,top
C17,20.25,38.5,0.0,top
C18,62.75,38.5,270.0,top
C19,60.5,38.5,270.0,top
C2,39.5,48.5,270.0,top
C3,17.5,43.75,180.0,top
C4,17.5,47.25,180.0,top
C5,17.5,49.0,180.0,top
C6,17.5,50.75,180.0,top
C7,17.5,52.5,180.0,top
C8,17.5,56.0,180.0,top
C9,17.5,57.75,180.0,top
D1,56.0,14.0,270.0,top
D2,43.5,4.0,270.0,top
D3,22.5,52.0,270.0,top
D4,22.5,46.75,270.0,top
D5,22.5,57.35,90.0,top
IC3,51.9,40.7,270.0,top
IC6,44.5,50.5,270.0,top
J2,10.0,52.0,270.0,top
J3,11.235,67.35,270.0,bottom
J4,53.5,69.287,180.0,top
L1,22.15,61.75,180.0,top
LS2,63.5,11.5,0.0,top
Q1,21.85,69.75,180.0,top
Q2,59.5,3.55,0.0,top
Q3,17.45,61.75,0.0,top
Q4,17.35,69.75,180.0,top
R1,17.5,59.5,0.0,top
R10,66.25,38.75,90.0,top
R11,58.75,38.75,270.0,top
R12,64.5,38.75,270.0,top
R13,21.75,18.5,0.0,top
R14,39.5,52.5,270.0,top
R15,37.0,2.5,180.0,top
R16,56.0,9.25,270.0,top
R2,17.5,64.0,0.0,top
R3,28.0,5.0,0.0,top
R4,25.75,44.4925,180.0,top
R5,56.5,48.75,180.0,top
R6,52.0,48.75,0.0,top
R7,33.75,35.25,180.0,top
R8,32.75,41.25,90.0,top
R9,57.0,38.75,270.0,top
S1,45.0,69.925,180.0,top
S2,8.4,12.5,90.0,top
S3,15.4,12.5,90.0,top
S4,22.6,12.5,90.0,top
S5,29.6,12.5,90.0,top
S6,36.6,12.5,90.0,top
S7,51.0,4.0,180.0,top
S8,43.6,12.497637,90.0,top
S9,50.6,12.491837,90.0,top
U1,44.07,55.0,90.0,bottom
U2,57.75,27.0,90.0,top
U4,25.75,38.7425,180.0,top
U5,25.89,27.08,90.0,top
